cnty_name,rate_cnty_avg
Beaver,0.008210714285714285
Box Elder,0.010111759493670887
Cache,0.00698628888888889
Carbon,0.012943296296296295
Daggett,0.0077921250000000004
Davis,0.010108046875
Duchesne,0.011248592592592591
Emery,0.01509410810810811
Garfield,0.007199137931034483
Grand,0.0085152
Iron,0.007835805555555554
Juab,0.00914886956521739
Kane,0.007878809523809524
Millard,0.00805009090909091
Morgan,0.009915916666666667
Piute,0.007709400000000001
Rich,0.0043295
Salt Lake,0.01065585
San Juan,0.010378499999999999
Sanpete,0.009077439999999999
Sevier,0.008942631578947369
Summit,0.006279677966101694
Tooele,0.01156772
Uintah,0.0085354
Utah,0.009619675496688742
Wasatch,0.010163340425531915
Washington,0.007583777777777777
Wayne,0.005645375
Weber,0.010370819148936169
